timestamp,question,answer,doc_count,scores,contexts
2026-04-09 17:16:21,안전을 위한 주의 사항,"안전을 위한 주의 사항은 사용자의 안전을 지키고 재산상의 손해를 막기 위한 내용으로, 반드시 읽고 올바르게 사용해야 합니다.",4,0.28192353 | 0.37609714 | 0.41242203 | 0.42985743,"www.samsung.com/sec 사용 설명서 안전을 위한 주의사항 사용자의 안전을 지키고 재산상의 손해를 막기 위한 내용입니다. 반드시 읽고 올바르게 사용해 주세요. | 시작하기 4 표기된 기호 설명 경고: 컴퓨터를 사용할 때 주의하지 않으면 심각한 피해를 입을 수 있는  경고 사항을 표기할 때 사용합니다. 주의: 컴퓨터를 안전하고 올바르게 사용하기 위해 주의해야 할 사항을  표기할 때 사용합니다. 알아두기: 컴퓨터를 사용할 때 알아두면 좋을 내용이나 참고 기능, 기능  사용 중에 유용하게 사용할 수 있는 팁 등을 소개할 때 사용합니다. 특정 기능을 실행하기 위해 선택해야 하는 항목이나 옵션을 표기할 때  사용합니다. 예를 들어 '설정 → Bluetooth & 장치를 선택하세요.'는  설정을 선택한 | 시작하기 5 데이터 손상 주의 사항 데이터 손실로 인해 발생하는 문제는 삼성전자에서 책임지지 않습니다. 중요한  데이터는 손실되지 않도록 주의하고, 중요한 자료는 항상 백업해 두세요. OS 및 소프트웨어 지원 관련 주의 사항 출하 시 설치/제공되는 OS(운영 체제) 이외의 다른 OS로 변경하거나, 기본  제공된 OS를 지원하지 않는 소프트웨어를 설치한 경우, 기술지원 및 제품 교환,  환불이 불가하며 서비스 요청 시에는 소정의 수수료가 부과됩니다. 출하 시  설치되어 있는 OS로 사용하시기 바랍니다.   본 제품에 다른 OS를 설치 | 3 시작하기 사용하기 전에  • 이 사용 설명서는 컴퓨터의 기능과 특징에 대해 자세히 설명합니다.  • 컴퓨터 모델에 따라 제공되는 사용 설명서의 종류 및 내용은 일부 다를 수  있습니다.  • 사용 전 반드시 이 사용 설명서를 읽고 컴퓨터를 안전하고 올바르게  사용하세요.  • 사용 설명서의 본문 내용 중 선택 사양 항목과 일부 장치 및 소프트웨어는  제조사 정책에 따라 파생 모델별로 제공되지 않거나 변경될 수 있으며  버전이 다를 수 있습니다. 사용자의 컴퓨터 환경과 일치하지 않을 수  있으므로 양지하시기 바랍니다.  • 이 사"
2026-04-09 17:16:45,컴퓨터 키는 방법은,"컴퓨터를 끄는 방법은 다음과 같습니다:
1. 시작 버튼을 선택하세요.
2. 시스템 종료를 선택하세요. 

작업 중인 내용은 사전에 저장해야 합니다.",4,0.35000187 | 0.35198694 | 0.35331377 | 0.35980064,"시작하기 15 컴퓨터 끄기 1 시작 버튼(  )을 선택하세요. 2    → 시스템 종료를 선택하세요. 컴퓨터의 전원을 끄기 전에 진행 중인 작업을 모두 저장하세요. Windows 등록 안내 컴퓨터를 처음 켜면 Windows 등록 화면이 나타납니다. 화면의 안내에 따라 등록을 진행하면 컴퓨터를 사용할 수 있습니다. 처음 컴퓨터를 켜거나 컴퓨터의 배터리가 분리/방전된 경우 날짜와 시간이  현재와 다를 수 있습니다. 날짜와 시간을 설정하려면, 데스크톱 화면에서 작업  표시줄의 날짜 및 시간 표시 영역을 마우스 오른쪽 버튼으로 클릭한 후  | 시작하기 8 번호/이름 설명 전원 버튼/  지문 인식 센서  • 컴퓨터를 켜고 끄는 버튼입니다.  • 사용자의 지문을 인식하는 장치입니다.  지문을 이용하여 Windows, 앱 및  서비스에 로그인 할 수 있습니다. 키보드  • 키를 눌러 정보를 입력하는 장치입니다. 터치패드  • 커서를 이동하거나 옵션을 선택합니다.  • 마우스와 유사한 기능을 실행합니다. 번호/이름 설명 마이크  • 내장 마이크입니다. 조도 센서  • 컴퓨터 사용 환경의 밝기를 인지하는  센서입니다.  • 주변 환경이 어두워지면 키보드의  백라이트가 켜집니다.  | 기본 기능 28 핫 키 사용하기 다음 중 한 가지 방법을 선택해 핫 키를 사용하세요.  • 키보드에서 Fn 키를 누른 상태에서 핫 키를 누르세요. 키보드 키보드를 이용해 문자를 입력하는 것뿐만 아니라, 컴퓨터의 다양한 기능을 실행할 수도 있습니다.  • 이미지 및 사용할 수 있는 기능은 컴퓨터 모델, 운영 체제에 따라 다를 수 있습니다.  • 키보드는 국가별로 다르게 제공되며, 여기서는 핫 키 위주로 설명합니다.  • 키보드에서 Fn 키를 누른 상태에서 F12 키를 누르세요. Fn Lock 기능이  켜지면 핫 키를 누르세요. Fn  | 시작하기 16 Windows Microsoft Windows는 컴퓨터를 운영하는 기본 운영 체제입니다.  • 화면 및 사용할 수 있는 기능은 컴퓨터 모델, 운영 체제에 따라 다를  수 있습니다.  • 이 사용 설명서는 Windows 11 기준으로 제작되었으며, 버전에 따라  일부 내용이 다를 수 있습니다.  • 데스크톱 화면 이미지는 모델 및 버전에 따라 다르게 제공됩니다. Windows 설정 사용하기 Windows 설정에서 애플리케이션 설치 및 제거, 계정 관리 등 기본적인 시스템  설정을 할 수 있습니다. 시작 버튼(  ) → "
2026-04-09 17:17:02,컴퓨터 키는 방법은?,"컴퓨터를 끄는 방법은 다음과 같습니다:
1. 시작 버튼을 선택하세요.
2. 시스템 종료를 선택하세요. 

즉, 시작 버튼을 클릭한 후 시스템 종료를 선택하면 컴퓨터를 끌 수 있습니다.",4,0.30162346 | 0.3124929 | 0.32183072 | 0.32232124,"기본 기능 28 핫 키 사용하기 다음 중 한 가지 방법을 선택해 핫 키를 사용하세요.  • 키보드에서 Fn 키를 누른 상태에서 핫 키를 누르세요. 키보드 키보드를 이용해 문자를 입력하는 것뿐만 아니라, 컴퓨터의 다양한 기능을 실행할 수도 있습니다.  • 이미지 및 사용할 수 있는 기능은 컴퓨터 모델, 운영 체제에 따라 다를 수 있습니다.  • 키보드는 국가별로 다르게 제공되며, 여기서는 핫 키 위주로 설명합니다.  • 키보드에서 Fn 키를 누른 상태에서 F12 키를 누르세요. Fn Lock 기능이  켜지면 핫 키를 누르세요. Fn  | 시작하기 15 컴퓨터 끄기 1 시작 버튼(  )을 선택하세요. 2    → 시스템 종료를 선택하세요. 컴퓨터의 전원을 끄기 전에 진행 중인 작업을 모두 저장하세요. Windows 등록 안내 컴퓨터를 처음 켜면 Windows 등록 화면이 나타납니다. 화면의 안내에 따라 등록을 진행하면 컴퓨터를 사용할 수 있습니다. 처음 컴퓨터를 켜거나 컴퓨터의 배터리가 분리/방전된 경우 날짜와 시간이  현재와 다를 수 있습니다. 날짜와 시간을 설정하려면, 데스크톱 화면에서 작업  표시줄의 날짜 및 시간 표시 영역을 마우스 오른쪽 버튼으로 클릭한 후  | 시작하기 8 번호/이름 설명 전원 버튼/  지문 인식 센서  • 컴퓨터를 켜고 끄는 버튼입니다.  • 사용자의 지문을 인식하는 장치입니다.  지문을 이용하여 Windows, 앱 및  서비스에 로그인 할 수 있습니다. 키보드  • 키를 눌러 정보를 입력하는 장치입니다. 터치패드  • 커서를 이동하거나 옵션을 선택합니다.  • 마우스와 유사한 기능을 실행합니다. 번호/이름 설명 마이크  • 내장 마이크입니다. 조도 센서  • 컴퓨터 사용 환경의 밝기를 인지하는  센서입니다.  • 주변 환경이 어두워지면 키보드의  백라이트가 켜집니다.  | 시작하기 16 Windows Microsoft Windows는 컴퓨터를 운영하는 기본 운영 체제입니다.  • 화면 및 사용할 수 있는 기능은 컴퓨터 모델, 운영 체제에 따라 다를  수 있습니다.  • 이 사용 설명서는 Windows 11 기준으로 제작되었으며, 버전에 따라  일부 내용이 다를 수 있습니다.  • 데스크톱 화면 이미지는 모델 및 버전에 따라 다르게 제공됩니다. Windows 설정 사용하기 Windows 설정에서 애플리케이션 설치 및 제거, 계정 관리 등 기본적인 시스템  설정을 할 수 있습니다. 시작 버튼(  ) → "
2026-04-09 17:17:26,충전시키는 방법,"충전시키는 방법은 다음과 같습니다:

1. USB Type-C 포트 또는 Thunderbolt™ 4 포트에 외장 전원 장치(별매품)를 연결하여 본 컴퓨터를 충전합니다. 이때 외장 전원 장치는 정격이 10 W(5 V, 2 A) 이상이어야 하며 USB Type-C 또는 USB BC 1.2를 지원해야 합니다.
2. USB Type-C 또는 Thunderbolt™ 장치를 컴퓨터에 연결하여 충전합니다. 이 경우, 충전 중에는 배터리 충전 시간이 더 오래 걸릴 수 있으며, 어댑터가 연결되지 않은 상태에서 충전할 경우 배터리 용량이 줄어들 수 있습니다.
3. 컴퓨터가 최대 절전 모드거나 꺼져 있을 때는 왼쪽의 USB Type-C 포트 또는 Thunderbolt™ 4 포트에 연결하여 다른 장치를 충전할 수 있습니다.",4,0.34169587 | 0.3563675 | 0.36186928 | 0.36921522,"시작하기 11 USB Type-C 포트 또는 Thunderbolt™ 4 포트 충전 기능 컴퓨터 충전하기 USB Type-C 포트 또는 Thunderbolt™  4 포트에 외장 전원 장치(별매품)를  연결하면 보조 전원으로 사용하거나 본 컴퓨터를 충전할 수 있습니다. 정격이 10 W(5 V, 2 A) 이상이고 USB Type-C 또는 USB BC 1.2를 지원하는 외장  전원 장치(별매품)를 사용하세요. USB Type-C 또는 Thunderbolt ™ 장치 충전하기 본 컴퓨터에 USB Type-C 또는 Thunderbolt™  장치 | 시작하기 10 번호/이름 설명 메모리 카드 슬롯  • 메모리 카드를 삽입하여 사용할 수  있습니다. USB Type-C 포트  • USB Type-C 포트입니다. 어댑터를  연결해 컴퓨터를 충전할 수 있습니다.  USB Type-C 장치를 사용하거나 충전할  수도 있습니다. 또한 외부 디스플레이  장치 연결이 가능한 포트입니다. 이어셋/헤드셋 잭  • 이어셋 또는 헤드셋을 연결하는  잭입니다. 오른쪽면 1 2 3 | 시작하기 13 번호/이름 설명 통풍구  • 바람을 흡입하거나 컴퓨터 내부에서  발생되는 열을 외부로 내보내는  곳입니다.  • 통풍구가 막히면 컴퓨터가 과열되어  위험할 수 있으므로 막히지 않도록  주의하세요. 내장 배터리  • 어댑터가 연결되어 있지 않은 경우  컴퓨터에 전원을 공급합니다.  • 내장 배터리를 분리하거나 교체하려면  가까운 삼성전자 서비스 센터를  방문하세요. 이 경우 별도의 서비스  비용이 부과됩니다. 스피커  • 소리를 출력하는 장치입니다. 뒷면 케이스를 교체 수리할 경우, 교체 전 레이저 각인으로 표시되었던  | 시작하기 14 3 디스플레이 패널을 열면 자동으로 전원이 켜집니다. 또는 전원 버튼을 누르면 전원이 켜집니다. 디스플레이 패널을 열었을 때 자동으로 전원이 켜지지 않도록 설정할  수 있습니다. 1. 시작 버튼(  ) → 모든 앱 → Samsung Settings를 선택하세요. 2. 배터리 및 성능 → 자동 부팅에서 스위치를 눌러 기능을 끄세요. 컴퓨터 켜기/끄기 컴퓨터를 구입해 처음 사용하는 경우에는 반드시 어댑터를 꽂고  배터리를 충분히 충전한 후 사용하세요. 컴퓨터 켜기 1 컴퓨터를 켜기 전에, 먼저 배터리를 충전하세요. 2 디"
2026-04-10 15:38:21,서비스 센터 위치 알려줘,문서에는 서비스 센터의 위치에 대한 정보가 없습니다.,4,0.3580793 | 0.38185877 | 0.38827372 | 0.4153353,"시작하기 6 구분 문제 해결의 모든 것 01 스스로 해결  • 컴퓨터에 문제가 생겼네요~. 디지털 세상!   스스로 해결해 볼까요.  • 손안에 도움될 만한 것이 많아요.  – Q&A가 있어요.  – 삼성닷컴(www.samsung.com/sec) →   고객 서비스 02 즐거운 상담  • 상담원 도움이 필요하시다고요?   1588-3366으로 전화주세요.  • 온라인 상담(S Service) 프로그램을 실행하세요.  컴퓨터 사용 중에 발생할 수 있는 장애와 문의를  1:1 채팅과 원격 서비스로 해결할 수 있습니다.  • 전문 상담원 | www.samsung.com/sec 사용 설명서 안전을 위한 주의사항 사용자의 안전을 지키고 재산상의 손해를 막기 위한 내용입니다. 반드시 읽고 올바르게 사용해 주세요. | 시작하기 13 번호/이름 설명 통풍구  • 바람을 흡입하거나 컴퓨터 내부에서  발생되는 열을 외부로 내보내는  곳입니다.  • 통풍구가 막히면 컴퓨터가 과열되어  위험할 수 있으므로 막히지 않도록  주의하세요. 내장 배터리  • 어댑터가 연결되어 있지 않은 경우  컴퓨터에 전원을 공급합니다.  • 내장 배터리를 분리하거나 교체하려면  가까운 삼성전자 서비스 센터를  방문하세요. 이 경우 별도의 서비스  비용이 부과됩니다. 스피커  • 소리를 출력하는 장치입니다. 뒷면 케이스를 교체 수리할 경우, 교체 전 레이저 각인으로 표시되었던  | 시작하기 8 번호/이름 설명 전원 버튼/  지문 인식 센서  • 컴퓨터를 켜고 끄는 버튼입니다.  • 사용자의 지문을 인식하는 장치입니다.  지문을 이용하여 Windows, 앱 및  서비스에 로그인 할 수 있습니다. 키보드  • 키를 눌러 정보를 입력하는 장치입니다. 터치패드  • 커서를 이동하거나 옵션을 선택합니다.  • 마우스와 유사한 기능을 실행합니다. 번호/이름 설명 마이크  • 내장 마이크입니다. 조도 센서  • 컴퓨터 사용 환경의 밝기를 인지하는  센서입니다.  • 주변 환경이 어두워지면 키보드의  백라이트가 켜집니다. "
2026-04-10 15:38:58,서비스 센터 위치,문서에 서비스 센터의 구체적인 위치에 대한 내용은 없습니다.,4,0.3720221 | 0.3899855 | 0.40397507 | 0.43254203,"시작하기 6 구분 문제 해결의 모든 것 01 스스로 해결  • 컴퓨터에 문제가 생겼네요~. 디지털 세상!   스스로 해결해 볼까요.  • 손안에 도움될 만한 것이 많아요.  – Q&A가 있어요.  – 삼성닷컴(www.samsung.com/sec) →   고객 서비스 02 즐거운 상담  • 상담원 도움이 필요하시다고요?   1588-3366으로 전화주세요.  • 온라인 상담(S Service) 프로그램을 실행하세요.  컴퓨터 사용 중에 발생할 수 있는 장애와 문의를  1:1 채팅과 원격 서비스로 해결할 수 있습니다.  • 전문 상담원 | www.samsung.com/sec 사용 설명서 안전을 위한 주의사항 사용자의 안전을 지키고 재산상의 손해를 막기 위한 내용입니다. 반드시 읽고 올바르게 사용해 주세요. | 시작하기 13 번호/이름 설명 통풍구  • 바람을 흡입하거나 컴퓨터 내부에서  발생되는 열을 외부로 내보내는  곳입니다.  • 통풍구가 막히면 컴퓨터가 과열되어  위험할 수 있으므로 막히지 않도록  주의하세요. 내장 배터리  • 어댑터가 연결되어 있지 않은 경우  컴퓨터에 전원을 공급합니다.  • 내장 배터리를 분리하거나 교체하려면  가까운 삼성전자 서비스 센터를  방문하세요. 이 경우 별도의 서비스  비용이 부과됩니다. 스피커  • 소리를 출력하는 장치입니다. 뒷면 케이스를 교체 수리할 경우, 교체 전 레이저 각인으로 표시되었던  | 시작하기 8 번호/이름 설명 전원 버튼/  지문 인식 센서  • 컴퓨터를 켜고 끄는 버튼입니다.  • 사용자의 지문을 인식하는 장치입니다.  지문을 이용하여 Windows, 앱 및  서비스에 로그인 할 수 있습니다. 키보드  • 키를 눌러 정보를 입력하는 장치입니다. 터치패드  • 커서를 이동하거나 옵션을 선택합니다.  • 마우스와 유사한 기능을 실행합니다. 번호/이름 설명 마이크  • 내장 마이크입니다. 조도 센서  • 컴퓨터 사용 환경의 밝기를 인지하는  센서입니다.  • 주변 환경이 어두워지면 키보드의  백라이트가 켜집니다. "
2026-04-10 15:39:41,컴퓨터 어떻게 켜?,문서에는 컴퓨터를 켜는 방법에 대한 내용이 없습니다. 답변을 드릴 수 없습니다.,4,0.26804715 | 0.31178546 | 0.31549704 | 0.31793374,"시작하기 15 컴퓨터 끄기 1 시작 버튼(  )을 선택하세요. 2    → 시스템 종료를 선택하세요. 컴퓨터의 전원을 끄기 전에 진행 중인 작업을 모두 저장하세요. Windows 등록 안내 컴퓨터를 처음 켜면 Windows 등록 화면이 나타납니다. 화면의 안내에 따라 등록을 진행하면 컴퓨터를 사용할 수 있습니다. 처음 컴퓨터를 켜거나 컴퓨터의 배터리가 분리/방전된 경우 날짜와 시간이  현재와 다를 수 있습니다. 날짜와 시간을 설정하려면, 데스크톱 화면에서 작업  표시줄의 날짜 및 시간 표시 영역을 마우스 오른쪽 버튼으로 클릭한 후  | 시작하기 12 번호/이름 설명 동작 표시등  • 컴퓨터의 동작 상태를 표시합니다.  – 빨간색: 충전 중  – 녹색: 충전 완료  – 파란색: 컴퓨터가 켜진 상태 조도 센서  • 컴퓨터 사용 환경의 밝기를 인지하는  센서입니다.  • 주변 환경이 어두워지면 키보드의  백라이트가 켜집니다.  • 주변 환경이 밝아지면 키보드의  백라이트가 꺼집니다. 센서를 가리지 않도록 주의하세요. 동작 표시등 및 조도 센서 1 2 | 시작하기 13 번호/이름 설명 통풍구  • 바람을 흡입하거나 컴퓨터 내부에서  발생되는 열을 외부로 내보내는  곳입니다.  • 통풍구가 막히면 컴퓨터가 과열되어  위험할 수 있으므로 막히지 않도록  주의하세요. 내장 배터리  • 어댑터가 연결되어 있지 않은 경우  컴퓨터에 전원을 공급합니다.  • 내장 배터리를 분리하거나 교체하려면  가까운 삼성전자 서비스 센터를  방문하세요. 이 경우 별도의 서비스  비용이 부과됩니다. 스피커  • 소리를 출력하는 장치입니다. 뒷면 케이스를 교체 수리할 경우, 교체 전 레이저 각인으로 표시되었던  | 시작하기 16 Windows Microsoft Windows는 컴퓨터를 운영하는 기본 운영 체제입니다.  • 화면 및 사용할 수 있는 기능은 컴퓨터 모델, 운영 체제에 따라 다를  수 있습니다.  • 이 사용 설명서는 Windows 11 기준으로 제작되었으며, 버전에 따라  일부 내용이 다를 수 있습니다.  • 데스크톱 화면 이미지는 모델 및 버전에 따라 다르게 제공됩니다. Windows 설정 사용하기 Windows 설정에서 애플리케이션 설치 및 제거, 계정 관리 등 기본적인 시스템  설정을 할 수 있습니다. 시작 버튼(  ) → "
2026-04-10 15:40:45,충전 방법은?,USB Type-C 포트 또는 Thunderbolt™ 4 포트에 외장 전원 장치(별매품)를 연결하여 컴퓨터를 충전할 수 있습니다.,4,0.3575958 | 0.37346494 | 0.37572175 | 0.38471264,"시작하기 11 USB Type-C 포트 또는 Thunderbolt™ 4 포트 충전 기능 컴퓨터 충전하기 USB Type-C 포트 또는 Thunderbolt™  4 포트에 외장 전원 장치(별매품)를  연결하면 보조 전원으로 사용하거나 본 컴퓨터를 충전할 수 있습니다. 정격이 10 W(5 V, 2 A) 이상이고 USB Type-C 또는 USB BC 1.2를 지원하는 외장  전원 장치(별매품)를 사용하세요. USB Type-C 또는 Thunderbolt ™ 장치 충전하기 본 컴퓨터에 USB Type-C 또는 Thunderbolt™  장치 | 시작하기 10 번호/이름 설명 메모리 카드 슬롯  • 메모리 카드를 삽입하여 사용할 수  있습니다. USB Type-C 포트  • USB Type-C 포트입니다. 어댑터를  연결해 컴퓨터를 충전할 수 있습니다.  USB Type-C 장치를 사용하거나 충전할  수도 있습니다. 또한 외부 디스플레이  장치 연결이 가능한 포트입니다. 이어셋/헤드셋 잭  • 이어셋 또는 헤드셋을 연결하는  잭입니다. 오른쪽면 1 2 3 | 시작하기 13 번호/이름 설명 통풍구  • 바람을 흡입하거나 컴퓨터 내부에서  발생되는 열을 외부로 내보내는  곳입니다.  • 통풍구가 막히면 컴퓨터가 과열되어  위험할 수 있으므로 막히지 않도록  주의하세요. 내장 배터리  • 어댑터가 연결되어 있지 않은 경우  컴퓨터에 전원을 공급합니다.  • 내장 배터리를 분리하거나 교체하려면  가까운 삼성전자 서비스 센터를  방문하세요. 이 경우 별도의 서비스  비용이 부과됩니다. 스피커  • 소리를 출력하는 장치입니다. 뒷면 케이스를 교체 수리할 경우, 교체 전 레이저 각인으로 표시되었던  | 시작하기 14 3 디스플레이 패널을 열면 자동으로 전원이 켜집니다. 또는 전원 버튼을 누르면 전원이 켜집니다. 디스플레이 패널을 열었을 때 자동으로 전원이 켜지지 않도록 설정할  수 있습니다. 1. 시작 버튼(  ) → 모든 앱 → Samsung Settings를 선택하세요. 2. 배터리 및 성능 → 자동 부팅에서 스위치를 눌러 기능을 끄세요. 컴퓨터 켜기/끄기 컴퓨터를 구입해 처음 사용하는 경우에는 반드시 어댑터를 꽂고  배터리를 충분히 충전한 후 사용하세요. 컴퓨터 켜기 1 컴퓨터를 켜기 전에, 먼저 배터리를 충전하세요. 2 디"
2026-04-10 15:41:24,충전시키는법,"컴퓨터를 충전하려면 USB Type-C 포트 또는 Thunderbolt™ 4 포트에 외장 전원 장치(별매품)를 연결하세요. 이때 외장 전원 장치는 정격이 10 W(5 V, 2 A) 이상이어야 하며 USB Type-C 또는 USB BC 1.2를 지원해야 합니다.",4,0.34180158 | 0.35173768 | 0.3589875 | 0.36542496,"시작하기 11 USB Type-C 포트 또는 Thunderbolt™ 4 포트 충전 기능 컴퓨터 충전하기 USB Type-C 포트 또는 Thunderbolt™  4 포트에 외장 전원 장치(별매품)를  연결하면 보조 전원으로 사용하거나 본 컴퓨터를 충전할 수 있습니다. 정격이 10 W(5 V, 2 A) 이상이고 USB Type-C 또는 USB BC 1.2를 지원하는 외장  전원 장치(별매품)를 사용하세요. USB Type-C 또는 Thunderbolt ™ 장치 충전하기 본 컴퓨터에 USB Type-C 또는 Thunderbolt™  장치 | 시작하기 10 번호/이름 설명 메모리 카드 슬롯  • 메모리 카드를 삽입하여 사용할 수  있습니다. USB Type-C 포트  • USB Type-C 포트입니다. 어댑터를  연결해 컴퓨터를 충전할 수 있습니다.  USB Type-C 장치를 사용하거나 충전할  수도 있습니다. 또한 외부 디스플레이  장치 연결이 가능한 포트입니다. 이어셋/헤드셋 잭  • 이어셋 또는 헤드셋을 연결하는  잭입니다. 오른쪽면 1 2 3 | 시작하기 13 번호/이름 설명 통풍구  • 바람을 흡입하거나 컴퓨터 내부에서  발생되는 열을 외부로 내보내는  곳입니다.  • 통풍구가 막히면 컴퓨터가 과열되어  위험할 수 있으므로 막히지 않도록  주의하세요. 내장 배터리  • 어댑터가 연결되어 있지 않은 경우  컴퓨터에 전원을 공급합니다.  • 내장 배터리를 분리하거나 교체하려면  가까운 삼성전자 서비스 센터를  방문하세요. 이 경우 별도의 서비스  비용이 부과됩니다. 스피커  • 소리를 출력하는 장치입니다. 뒷면 케이스를 교체 수리할 경우, 교체 전 레이저 각인으로 표시되었던  | 시작하기 14 3 디스플레이 패널을 열면 자동으로 전원이 켜집니다. 또는 전원 버튼을 누르면 전원이 켜집니다. 디스플레이 패널을 열었을 때 자동으로 전원이 켜지지 않도록 설정할  수 있습니다. 1. 시작 버튼(  ) → 모든 앱 → Samsung Settings를 선택하세요. 2. 배터리 및 성능 → 자동 부팅에서 스위치를 눌러 기능을 끄세요. 컴퓨터 켜기/끄기 컴퓨터를 구입해 처음 사용하는 경우에는 반드시 어댑터를 꽂고  배터리를 충분히 충전한 후 사용하세요. 컴퓨터 켜기 1 컴퓨터를 켜기 전에, 먼저 배터리를 충전하세요. 2 디"
